,순위,제목,가수,앨범,likes,월
0,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1,205875,1월
0,1,Celebrity,아이유,IU 5th Album 'LILAC',328384,2월
0,1,롤린 (Rollin'),브레이브걸스,Rollin',297276,3월
0,1,롤린 (Rollin'),브레이브걸스,Rollin',297276,4월
0,1,롤린 (Rollin'),브레이브걸스,Rollin',297276,5월
0,1,Butter,방탄소년단,Butter,281035,6월
0,1,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,182940,7월
0,1,신호등,이무진,신호등,292669,8월
0,1,STAY,"The Kid LAROI, Justin Bieber",Stay,243513,9월
0,1,STAY,"The Kid LAROI, Justin Bieber",Stay,243513,10월
0,1,strawberry moon,아이유,strawberry moon,215652,11월
0,1,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,218444,12월
